,English,Arabic,Russian,Spanish,WikiData_id,Entity_name,Occupation_name,Perceived_gender,url
0,Sopita Tanasan  is a Thai weighlifter.,سوبيتا تاناسان رافعة أثقال من تايلند.,Сопита Танасан  — тайская тяжелоатлетка.,Sopita Tanasan  es una levantadora de pesas tailandesa.,Q16227761,Sopita Tanasan,['weightlifter'],female,https://en.wikipedia.org/wiki/Sopita_Tanasan
1,Abeer Abdelrahman Khalil Mahmoud  is an Egyptian weightlifter.,عبير عبد الرحمن خليل محمود ،هي لاعبة رفع أثقال مصرية.,Абир Абдельрахман Халил Махмуд  — египетская тяжелоатлетка.,Abeer Abdelrahman Khalil Mahmoud  es una halterófila egipcia.,Q4666488,Abeer Abdelrahman,['weightlifter'],female,https://en.wikipedia.org/wiki/Abeer_Abdelrahman
2,Romela Aleksandër Begaj  is an Albanian weightlifter.,روميلا ألكسندر بيغاي هي رافعة أثقال ألبانية.,Ромела Бегай  — албанская тяжелоатлетка.,Romela Begaj  es una una halterófila albanesa.,Q257843,Romela Begaj,['weightlifter'],female,https://en.wikipedia.org/wiki/Romela_Begaj
3,Cao Lei  is a Chinese weightlifter.,كاو لي هي رافعة أثقال صينية.,Цао Лэй  — китайская тяжелоатлетка.,Cao Lei es una halterófila china.,Q258545,Cao Lei,['weightlifter'],female,https://en.wikipedia.org/wiki/Cao_Lei
4,Jennifer Lombardo  is an Italian weightlifter who won two gold medals at the 2018 Mediterranean Games.,جينيفر لومباردو هي رافعة أثقال إيطالية فازت بميداليتين ذهبيتين في دورة ألعاب البحر الأبيض المتوسط في2018.,"Дженнифер Ломбардо  — итальянская тяжелоатлетка, выигравшая 2 золотые медали на Средиземных Играх 2018 года.",Jennifer Lombardo  es una halterófila italiana que ganó dos medallas de oro en los Juegos Mediterráneos de 2018.,Q26775264,Jennifer Lombardo,['weightlifter'],female,https://en.wikipedia.org/wiki/Jennifer_Lombardo
5,Margaryan won a bronze medal at the 2010 Summer Youth Olympics.,فاز مارغريان بميدالية برونزية في أولمبياد الشباب الصيفي لعام 2010.,Смбат Маргарян завоевал бронзовую медаль на Летних юношеских Олимпийских играх в 2010 году.,Margaryan ganó una medalla de bronze en los Juegos Olímpicos Juveniles de Verano de 2010.​,Q7544300,Smbat Margaryan,['weightlifter'],male,https://en.wikipedia.org/wiki/Smbat_Margaryan
6,Long Qingquan  is a Chinese weightlifter.,لونغ تشينغ تشيوان هو رباع صيني.,Лун Цинцюа́нь  — китайский тяжелоатлет.,Long Qingquan es un halterófilo chino.,Q358082,Long Qingquan,['weightlifter'],male,https://en.wikipedia.org/wiki/Long_Qingquan
7,Kianoush Rostami  is an Iranian Kurdish Olympian weightlifter.,كيانوش رستمي هو رباع أولمبي إيراني كردي.,"Киануш Ростами — ирано-курдский тяжелоатлет, олимпийский чемпион.",Kianoush Rostami  es un levantador de pesas iraní.,Q2743313,Kianoush Rostami,['weightlifter'],male,https://en.wikipedia.org/wiki/Kianoush_Rostami
8,"Nurudinov also won a gold medal at the 2016 Olympics, setting a new Olympic record in the clean and jerk at 237 kg.",رسلان حصل على الميدالية الذهبية الثانية في الألعاب الأوليمبية عام 2016، رسلان سجل رقم أولمبي في رفعة النتر مع رفع 237 كجم.,"На Олимпийских играх 2016 года Нурудинов также завоевал большую золотую медаль, установив новый олимпийский рекорд в толчке на 237 кг.","Nurudinov también ganó una medalla de horo en los Olímpicos de 2016, marcando un nuevo record olímpico en cargada y envión de 237 quilos.​",Q7381034,Ruslan Nurudinov,['weightlifter'],male,https://en.wikipedia.org/wiki/Ruslan_Nurudinov
9,Berger is buried at the Mayfield Cemetery in his hometown of Cleveland.,دفن بيرغر في مقبرة مايفيلد في مسقط رأسه في كليفلاند.,Бергер похоронен на кладбище Мейфилд в своём родном городе в Кливленде.,Berger fue enterrado en el cementerio de Mayfield en su ciudad natal de Cleveland.​,Q873867,David Mark Berger,['weightlifter'],male,https://en.wikipedia.org/wiki/David_Mark_Berger
