,English,Swahili,Wikidata,entity_name,occupation_name,gender,url
535,"The historical St Pelagia, mentioned by St Ambrose and in two sermons by John Chrysostom, was an Antiochene virgin who was martyred because of her refusal to offer pagan sacrifice during the Diocletianic Persecution.","Pelagia wa Antiokia alikuwa mwanamke Mkristo wa karne ya 4 wa huko Antiokia, leo nchini Uturuki, ambaye baada ya kuishi kwa anasa aliishi kwa toba kali hadi kuharibu afya yake na hatimaye kufa.",Q264502,Saint Pelagia,anchorite,female,https://en.wikipedia.org/wiki/Pelagia
536,His feast day is October 6.,Sikukuu yake inaadhimishwa tarehe 6 Oktoba,Q312314,Bruno of Cologne,anchorite,male,https://en.wikipedia.org/wiki/Bruno_of_Cologne
721,"She maintained the Leakey family tradition of palaeoanthropology by training her son, Richard, in the field.",Baada ya kifo cha mumewe Louis aliendelea kuwa kati ya wataalamu wakuu kwenye uwanja wa paleoanthropolojia akamfundisha pia mwanawe Richard Leaky katika fani hii.,Q231111,Mary Douglas Leakey,archaeologist,female,https://en.wikipedia.org/wiki/Mary_Leakey
722,Oliver Hazard Perry La Farge II  was an American writer and anthropologist.,Oliver Hazard Perry La Farge alikuwa mwandishi na mwanaanthropolojia kutoka nchi ya Marekani.,Q761453,Oliver La Farge,archaeologist,male,https://en.wikipedia.org/wiki/Oliver_La_Farge
63,"Grand Duchess Alexandra Nikolaevna of Russia  was the youngest daughter and fourth child of Tsar Nicholas I, Emperor of Russia, and his wife, Princess Charlotte of Prussia.",Grand Duchess Alexandra Nikolaevna wa Urusi alikuwa mtoto wa nne na wa mwisho kati ya mabinti wa Kaisaria Nicholas I wa Urusi na mkewe binti mfalme Charlotte wa Prussia,Q238478,Grand Duchess Alexandra Nikolaevna of Russia,aristocrat,female,https://en.wikipedia.org/wiki/Grand_Duchess_Alexandra_Nikolaevna_of_Russia
64,He was the youngest child and only son of Emperor Nicholas II and Empress Alexandra Feodorovna.,Alikuwa mtoto wa mwisho na mwana wa pekee wa kaisari Nikola II wa Urusi na wa Alexandra Feodorovna,Q154045,"Alexei Nikolaevich, Tsarevich of Russia",aristocrat,male,"https://en.wikipedia.org/wiki/Alexei_Nikolaevich,_Tsarevich_of_Russia"
190,"In 1695, she was made chief patroness of Poland and Lithuania.",Mwaka 1695 alifanywa kuwa msimamizi wa Polandi na Lithuania.,Q233012,Kinga of Poland,aristocrat,female,https://en.wikipedia.org/wiki/Kinga_of_Poland
191,"When her husband died in 1279, she sold all her material possessions and gave the money to the poor.","Mwaka 1279 alipofiwa mumewe , aliuza mali yake yote na kugawa mapato yote kwa maskini.",Q233012,Kinga of Poland,aristocrat,female,https://en.wikipedia.org/wiki/Kinga_of_Poland
192,"She was born in Esztergom, Kingdom of Hungary, the daughter of King B̩la IV of Hungary and Maria Laskarina.","Alizaliwa Esztergom , Ufalme wa Hungaria, binti wa mfalme B̩la IV wa Hungaria na Maria Laskarina.",Q233012,Kinga of Poland,aristocrat,female,https://en.wikipedia.org/wiki/Kinga_of_Poland
193,In 1918 she was arrested and ultimately murdered by the Bolsheviks.,Mwaka 1918 alikamatwa na kuuawa na Wakomunisti.,Q58063,Princess Elisabeth of Hesse and by Rhine,aristocrat,female,https://en.wikipedia.org/wiki/Princess_Elisabeth_of_Hesse_and_by_Rhine_(1864%E2%80%931918)
